movie,short,tvEpisode,tvMiniSeries,tvMovie,tvSeries,tvShort,tvSpecial,video,videoGame
138226.0,148598.0,316334.0,1436.0,22143.0,13619.0,1354.0,2007.0,539.0,99.0
141981.0,150077.0,337560.0,1580.0,23450.0,14318.0,1406.0,2122.0,612.0,142.0
145974.0,151650.0,358790.0,1714.0,24678.0,15050.0,1456.0,2259.0,721.0,301.0
149848.0,153207.0,379840.0,1868.0,25904.0,15806.0,1512.0,2418.0,854.0,435.0
153671.0,154582.0,400252.0,2036.0,27171.0,16597.0,1561.0,2592.0,1024.0,618.0
157607.0,156091.0,421374.0,2228.0,28528.0,17393.0,1610.0,2779.0,1294.0,762.0
161691.0,157598.0,441934.0,2425.0,29941.0,18205.0,1659.0,2964.0,1603.0,915.0
165728.0,159145.0,463697.0,2591.0,31439.0,19084.0,1710.0,3145.0,2039.0,1086.0
169771.0,160455.0,484402.0,2785.0,32983.0,19976.0,1774.0,3310.0,2623.0,1323.0
173788.0,161668.0,508538.0,2978.0,34546.0,20973.0,1836.0,3500.0,3342.0,1654.0
177951.0,162956.0,532507.0,3190.0,36022.0,21967.0,1887.0,3699.0,4239.0,2020.0
182305.0,164317.0,557403.0,3415.0,37464.0,23022.0,1957.0,3904.0,5490.0,2366.0
186731.0,165772.0,583438.0,3623.0,38857.0,24049.0,2023.0,4122.0,7229.0,2669.0
191054.0,167095.0,609351.0,3827.0,40245.0,25088.0,2086.0,4347.0,9278.0,3002.0
195410.0,168436.0,637226.0,4047.0,41667.0,26241.0,2171.0,4610.0,11520.0,3365.0
199903.0,169845.0,664604.0,4273.0,43103.0,27396.0,2238.0,4856.0,13855.0,3738.0
204416.0,171348.0,694488.0,4486.0,44514.0,28704.0,2287.0,5105.0,16290.0,4171.0
209189.0,172951.0,727006.0,4734.0,45996.0,30122.0,2377.0,5368.0,18659.0,4644.0
213548.0,174580.0,761647.0,4992.0,47528.0,31446.0,2459.0,5650.0,21368.0,5182.0
217848.0,176348.0,796731.0,5222.0,49001.0,32988.0,2557.0,5955.0,24771.0,5745.0
222020.0,178224.0,835721.0,5452.0,50529.0,34580.0,2660.0,6273.0,28499.0,6372.0
226106.0,180371.0,878901.0,5668.0,52102.0,36318.0,2756.0,6620.0,32278.0,7009.0
230361.0,182878.0,928243.0,5906.0,53930.0,38203.0,2870.0,7018.0,36223.0,7616.0
234622.0,185688.0,980605.0,6170.0,55819.0,40219.0,2965.0,7454.0,40071.0,8197.0
239149.0,188772.0,1036653.0,6420.0,57732.0,42421.0,3049.0,7923.0,44002.0,8702.0
243818.0,192435.0,1100011.0,6701.0,59840.0,44758.0,3139.0,8409.0,48405.0,9254.0
248650.0,196560.0,1166742.0,7082.0,61975.0,47362.0,3260.0,8943.0,53213.0,9859.0
253683.0,201171.0,1234203.0,7388.0,64378.0,50074.0,3383.0,9524.0,58720.0,10488.0
259041.0,206447.0,1308502.0,7748.0,66964.0,53127.0,3537.0,10148.0,64647.0,11122.0
264663.0,212715.0,1384389.0,8101.0,69622.0,56262.0,3692.0,10792.0,71329.0,11767.0
270484.0,220148.0,1469005.0,8496.0,72531.0,59780.0,3877.0,11479.0,79692.0,12363.0
276869.0,229630.0,1566448.0,8972.0,75595.0,63470.0,4088.0,12316.0,89713.0,12944.0
284183.0,241278.0,1672847.0,9464.0,78890.0,67698.0,4279.0,13226.0,101217.0,13573.0
291987.0,253656.0,1792317.0,9998.0,82242.0,72506.0,4543.0,14187.0,113686.0,14292.0
300509.0,267811.0,1926259.0,10522.0,85879.0,77648.0,4784.0,15189.0,126314.0,14969.0
310457.0,285476.0,2070065.0,11006.0,89019.0,82991.0,5049.0,16160.0,138619.0,15672.0
321850.0,308164.0,2218853.0,11536.0,92218.0,88713.0,5290.0,17126.0,150554.0,16393.0
334031.0,336021.0,2387466.0,12137.0,95192.0,95102.0,5508.0,18122.0,163158.0,17121.0
347159.0,368703.0,2580168.0,12883.0,98420.0,102861.0,5759.0,19337.0,176125.0,17890.0
361226.0,406467.0,2795615.0,14170.0,101754.0,111410.0,6051.0,20626.0,188929.0,18712.0
375962.0,448711.0,3027206.0,15839.0,104963.0,120268.0,6387.0,21933.0,201343.0,19595.0
391783.0,495351.0,3272765.0,17788.0,108179.0,129479.0,6807.0,23151.0,213585.0,20563.0
408149.0,541018.0,3531963.0,20039.0,111715.0,139495.0,7444.0,24397.0,226482.0,21711.0
425676.0,590266.0,3803604.0,22574.0,115345.0,149605.0,8195.0,25708.0,239937.0,22906.0
443549.0,640567.0,4092005.0,25469.0,118784.0,159775.0,8772.0,27012.0,254810.0,24177.0
461232.0,689058.0,4382887.0,28394.0,121898.0,169688.0,9307.0,28272.0,271537.0,25291.0
478225.0,731917.0,4661377.0,31091.0,124727.0,179064.0,9596.0,29737.0,286906.0,26419.0
492695.0,768451.0,4910194.0,33840.0,126867.0,188607.0,9815.0,31635.0,299944.0,27133.0
