Titre,Année,Durée,Genres,Note,Votes
Peggy,1916,70,Comedy,5.3,14
La dame de pique,1916,63,"Drama,Fantasy,Horror",6.9,640
Terrible adversaire,1916,50,"Action,Comedy,Drama",4.8,568
La Rédemption de Rio Jim,1916,50,"Action,Adventure,Romance",6.4,144
Le palais de la chaussure pinkus,1916,45,Comedy,5.7,190
Sherlock Holmes,1916,116,Mystery,6.4,330
La conquête de l'or,1916,50,"Adventure,Drama,Western",5.6,14
La secrétaire particulière,1916,52,"Comedy,Drama",5.3,508
La tigresse royale,1916,80,Drama,6.6,96
La piste du pin solitaire,1916,50,Drama,7.1,14
La Vie de Christophe Colomb,1916,110,History,6.0,9
Les Ailes,1916,69,Drama,5.7,104
Aladin,1917,80,Fantasy,5.7,90
Les enfants dans la forêt,1917,50,"Drama,Family,Fantasy",6.3,12
Le mauvais garnement,1917,\N,"Crime,Drama",5.4,8
La délaissée,1917,50,Drama,6.7,6
Barberousse,1917,\N,\N,5.1,7
La barrière du sang,1917,100,Adventure,6.6,7
À l'assaut du boulevard,1917,53,Western,6.0,491
La Reine des Césars,1917,125,"Biography,Drama,History",6.6,305
Grand frère,1917,70,Western,6.7,10
L'infernale obsession,1917,\N,Horror,6.2,13
Le talisman,1917,60,"Drama,Mystery",7.4,9
Maison de Poupée,1917,50,Drama,6.9,14
L'île du salut,1917,71,"Comedy,Romance",6.3,45
La chute des Romanoff,1917,80,"Biography,Drama,History",7.0,13
Le sauveur du ranch,1917,58,"Action,Comedy,Romance",6.9,29
La vierge folle,1916,\N,Drama,7.1,7
Le justicier,1917,50,"Action,Romance,Western",7.0,10
Hilde Warren et la mort,1917,80,Horror,5.8,92
Amour vainqueur,1917,50,Comedy,7.0,7
Jeanne d'Arc,1916,138,"Adventure,Drama,History",6.5,517
La petite américaine,1917,80,"Drama,Romance,War",6.0,617
Petite princesse,1917,62,Drama,5.8,641
La Du Barry,1917,105,"Drama,History",6.1,8
Le secret de Dolorès,1917,70,Adventure,6.0,7
Mater dolorosa,1917,80,Drama,6.4,110
Douglas le nouveau D'Artagnan,1917,68,"Adventure,Comedy,Western",6.7,266
Le mystère de la double croix,1917,350,"Action,Adventure",6.4,22
Mères françaises,1917,\N,"Drama,War",6.1,28
La révélation,1917,68,Western,7.1,56
La nouvelle mission de Judex,1917,374,Adventure,6.6,22
Le père Serge,1918,112,"Biography,Drama,History",7.0,484
Le joueur de flûte de Hamelin,1918,64,\N,7.0,9
Une pauvre petite fille riche,1917,65,"Comedy,Drama,Family",6.7,1312
Fille d'Écosse,1917,84,"Drama,Romance",6.5,84
Douglas dans la lune,1917,69,"Adventure,Comedy",6.4,79
Le petit démon,1917,78,"Comedy,Drama",6.1,782
L'as de carreau,1917,\N,"Action,Adventure",1.8,8
La bête enchaînée,1917,91,"Adventure,Comedy,Drama",5.8,760
La romanichelle,1917,\N,"Drama,Romance",8.6,79
Le rictus de Satan,1917,87,Drama,6.9,155
L'attrait du cirque,1917,50,Drama,5.7,14
La voiture rouge,1917,50,Drama,5.4,80
L'inconnu,1917,50,Western,5.1,30
Le droit d'asile,1917,61,Western,6.6,67
Les sirènes de la mer,1917,60,Fantasy,5.6,8
Le ranch Diavolo,1917,57,Western,6.2,413
Un drame d'amour sous la Révolution,1917,70,"Drama,History,Romance",6.0,111
Thaïs,1917,\N,Drama,6.6,7
Le meilleur film de Thomas Graal,1917,52,Comedy,6.1,193
Deux rayons de soleil,1917,50,"Comedy,Drama",6.0,9
La Fille de la Tourbière,1917,87,Drama,6.7,151
Sans nom,1917,\N,Drama,5.5,6
La casaque verte,1917,80,Drama,5.8,33
La vengeance de Jim,1917,50,Western,6.4,21
Les conquérants,1917,60,"History,Romance",6.4,68
Les marchands de sensations,1919,\N,"Adventure,Comedy,Crime",1.4,8
Allez-vous coucher!,1918,58,"Comedy,Drama",6.1,69
À chacun sa vie,1918,67,"Comedy,Romance",5.8,743
La Demi-lune rouge,1919,83,Drama,5.9,128
Le lieutenant Douglas,1918,50,"Comedy,Drama,Romance",5.2,6
Les Proscrits,1918,136,Drama,7.2,1583
L'escapade de Corinne,1918,\N,Drama,7.1,14
L'oiseau bleu,1918,75,"Family,Fantasy",7.0,809
L'homme aux yeux clairs,1918,65,"Drama,Western",6.0,79
L'avion fantôme,1918,\N,"Action,Adventure",6.2,10
Du pain,1918,60,Drama,5.9,17
Les frères Karamazoff,1920,70,Drama,6.5,12
Le capitaine Fracasse,1919,\N,Adventure,2.1,9
Carmen du Klondike,1918,75,"Adventure,Drama,Romance",5.4,8
L'irresponsable,1918,72,Drama,7.4,9
La dixième symphonie,1918,94,Drama,5.9,136
Le mystérieux héritage d'Arabella Flynn,1918,60,Comedy,6.9,8
Maison de poupée,1918,50,Drama,7.4,8
L'occident,1918,70,"Drama,Romance",6.2,6
Pour les beaux yeux de Mary,1918,57,"Comedy,Drama",6.7,30
La cité défendue,1918,62,"Drama,Romance",5.3,282
La fille du gardien de phare,1918,63,Drama,5.8,26
Lettres d'autrefois,1918,59,Drama,6.7,47
Sa grande aventure,1918,50,Drama,6.6,11
Le grand amour,1918,70,"Drama,War",6.8,44
Une fleur dans les ruines,1918,70,"Drama,Romance,War",6.9,56
Douglas a le sourire,1918,50,"Adventure,Comedy,Romance",6.2,43
Le coeur de l'humanité,1918,110,"Drama,Romance,War",5.8,66
Coeurs du monde,1918,117,"Drama,War",6.4,918
Du sang dans la prairie,1918,50,Western,6.1,153
La maison de la haine,1918,\N,Action,6.9,11
La maison du brouillard,1918,60,Drama,7.0,11
Bas les masques!,1918,50,"Drama,Thriller,War",6.0,6
La petite vivandière,1918,72,"Comedy,Romance",5.1,598
Le trimardeur,1918,50,"Adventure,Romance",7.0,7
L'honneur de Bill,1918,66,"Adventure,Comedy",5.4,10
N'oublions jamais,1918,70,"Drama,War",7.4,8
Les mystères de la jungle,1918,360,"Action,Adventure",5.1,9
L'accalmie,1918,60,"Drama,Family,Romance",6.4,32
Le roi du cirque,1918,54,"Action,Adventure",6.0,15
L'enfant de la forêt,1918,73,"Comedy,Drama",6.4,123
L'amant,1918,71,Drama,5.2,618
Mickey,1918,93,"Comedy,Drama",5.9,1067
Le million des soeurs jumelles,1918,65,Comedy,6.4,7
Un charmeur,1918,50,"Comedy,Romance",7.0,10
Le chat botté,1918,109,Comedy,4.7,10
L'échange,1918,60,Drama,6.4,181
Pupille de marins,1918,50,"Comedy,Drama",7.0,18
La Reine de la mer,1918,50,"Adventure,Fantasy,Romance",6.7,7
Le roman de la vallée heureuse,1919,76,"Drama,Romance",6.1,345
Le roman de Tarzan,1918,70,"Action,Adventure",6.6,27
Rose-France,1919,70,Drama,6.9,37
Salomé,1918,80,Drama,6.3,24
L'étincelle,1918,50,Western,5.7,7
Un forban,1918,50,"Adventure,Drama,Romance",5.7,11
Un coeur en exil,1918,60,Western,5.7,23
Le roman de Mary,1918,84,Drama,6.7,1376
Journal d'une fille perdue,1918,60,"Drama,Thriller",6.8,13
Tarzan chez les singes,1918,73,"Action,Adventure",5.7,719
Leur premier né,1918,95,Comedy,6.4,84
Le tigre humain,1918,50,Western,5.0,6
Tih Minh,1918,418,"Adventure,Mystery",7.0,322
Les travailleurs de la mer,1918,\N,\N,6.8,6
Vendémiaire,1918,148,Drama,6.8,40
Bonheur en péril,1918,60,Drama,5.1,11
L'âme en ruine,1918,60,Drama,5.8,5
Le rachat suprême,1918,86,Drama,6.8,270
Le messager de la mort,1918,330,"Action,Adventure",6.0,25
L'éternelle tentatrice,1918,70,"Drama,War",5.5,10
L'ABC de l'amour,1919,66,Drama,6.4,22
Différent des autres,1919,50,"Crime,Drama,History",7.0,1165
Miss Milliard,1919,60,Comedy,7.2,1704
Automobile Grise,1919,223,"Action,Crime",7.1,178
L'instinct qui veille,1919,73,"Adventure,Romance,Western",6.3,869
Le serment de Black Billy,1919,60,Western,4.1,31
Barrabas,1919,489,"Crime,Thriller",7.3,70
Une vengeance,1919,70,"Drama,Thriller,War",7.2,232
La belle de New York,1919,50,Drama,7.6,45
Par la force et par la ruse,1919,\N,"Action,Adventure",6.0,9
La loi des montagnes,1919,99,"Drama,Romance",7.0,1367
La marque sanglante,1919,70,Adventure,6.9,9
Le lys brisé,1919,90,"Drama,Romance",7.3,9543
Le papillon meurtri,1919,59,Drama,6.4,112
Dégradation,1919,60,"Action,Adventure,Drama",6.0,8
Le champion,1919,63,"Drama,Sport",5.7,640
Le trésor,1919,50,Comedy,6.6,7
L'étoile de cinéma,1919,60,Drama,8.3,37
Papa longue-jambes,1919,85,"Comedy,Drama",6.5,1319
Un délicieux petit diable,1919,63,"Comedy,Drama",5.9,817
"Après la pluie, le beau temps",1919,71,Comedy,6.6,1132
L'engrenage,1919,\N,Drama,7.8,8
L'insaisissable beauté,1919,60,"Crime,Drama",5.2,10
Le voile de l'avenir,1919,78,Drama,5.3,649
La mort de Babylone,1919,82,Drama,6.8,108
Périlleuse mission,1919,70,Drama,6.0,64
Rêves dorés,1919,50,Comedy,4.2,8
L'anniversaire de la révolution,1918,119,Documentary,7.0,80
Le grand jeu,1919,310,"Action,Adventure,Mystery",6.1,12
Justice,1919,80,Drama,5.7,673
Un reportage tragique,1919,71,"Adventure,Drama",6.8,257
Le prix du sang,1919,75,Western,6.0,22
Le métis,1919,60,Fantasy,7.0,54
Le testament de sa Grâce,1919,75,Comedy,6.7,45
Madame Butterfly,1919,80,Drama,5.7,576
Le prix du silence,1919,72,"Drama,Romance,Western",5.7,11
Le trésor d'Arne,1919,122,"Drama,History",7.2,1237
Sa majesté Douglas,1919,115,"Adventure,Comedy,Romance",6.3,59
L'homme sans visage,1919,\N,\N,5.6,10
Dans les bas-fonds,1919,78,Comedy,6.7,936
La femme qui aime,1919,\N,Drama,5.2,5
Je ne voudrais pas être un homme,1918,45,"Comedy,Romance",6.9,1301
Pas de chance,1919,50,Comedy,6.7,10
La voix des ancêtres,1919,207,Drama,6.9,99
J'accuse,1919,166,"Drama,Horror,War",7.7,1491
Le remplaçant,1919,50,"Comedy,Drama",6.3,23
Le cabinet du docteur Caligari,1920,76,"Fantasy,Horror,Mystery",8.1,58163
Douglas brigand par amour,1919,77,"Comedy,Romance,Western",6.6,8
La ligne de vie,1919,60,"Adventure,Drama",5.3,12
Par amour,1919,300,"Action,Adventure,Crime",5.9,24
La croisière de l'U 35,1919,45,"Documentary,War",6.9,50
Prisonnière de l'Amour,1919,47,"Crime,Drama",6.4,54
L'admirable Crichton,1919,116,"Adventure,Drama",7.0,1740
Après le typhon,1919,60,"Action,Adventure,Drama",6.6,10
Houdini le maître du mystère,1918,\N,"Action,Adventure,Mystery",6.3,116
Meyer de Berlin,1919,58,Comedy,6.0,175
Le miracle,1919,80,Drama,6.7,142
Miss Aventure,1919,\N,Adventure,5.0,7
Le gardien de nuit,1919,50,"Action,Adventure,Crime",6.1,16
Charité,1919,95,Drama,7.0,166
Le mystère de la chambre jaune,1919,60,Mystery,6.6,11
Jamais battu,1919,\N,"Action,Adventure,Comedy",6.0,7
Dans la nuit,1919,60,Drama,6.8,5
Fraternité,1919,50,Drama,5.8,23
Le proscrit,1919,60,Western,4.2,29
La peste à Florence,1919,92,"Drama,History,Horror",6.4,147
Le petit café,1919,55,Comedy,6.9,16
Mariage blanc,1919,\N,Comedy,6.8,13
Prostitution,1919,121,Drama,6.6,5
Le président,1919,75,Drama,6.6,795
La poupée,1919,66,"Comedy,Fantasy",7.4,1758
La lanterne rouge,1919,70,Drama,6.6,51
La vengeance de Black Billy,1919,60,Western,4.1,26
Le roman de Rose,1919,80,"Drama,Romance",6.5,22
Silence sacré,1919,\N,Drama,6.6,5
Au Sahara,1919,70,Adventure,4.6,7
Le calvaire d'une mère,1919,77,"Adventure,Romance,Western",4.9,426
La rose messagère,1919,60,Drama,6.5,14
Le dictateur,1919,70,"Adventure,Drama",6.1,10
Les araignées - Le lac d'or,1919,81,"Adventure,Western",6.6,1088
Le frère inconnu,1919,50,"Action,Western",6.9,7
