Titre,Année,Durée,Genres,Note,Votes
"Demain, la fin",1978,109,"Crime,Drama",5.1,560
Train spécial pour Hitler,1977,75,"Drama,Thriller,War",3.3,391
Le tournant de la vie,1977,119,"Drama,Romance",6.9,4271
L'ultimatum des trois mercenaires,1977,146,"Drama,Thriller",6.8,2893
Le cheval et l'enfant,1978,97,"Drama,Family",6.9,21
"Un autre homme, une autre chance",1977,130,"Adventure,Drama,Romance",6.1,497
Un moment d'égarement,1977,81,"Comedy,Drama,Romance",6.3,507
Un oursin dans la poche,1977,98,Comedy,5.3,15
Un taxi mauve,1977,120,Drama,6.6,534
Un éléphant ça trompe énormément,1976,110,"Comedy,Romance",7.1,1917
Brrr...,1977,89,Horror,5.7,1470
L'une chante l'autre pas,1977,120,"Drama,History",7.4,1460
"Une femme, un jour...",1977,79,Drama,6.5,14
Une sale histoire,1977,50,Documentary,7.5,293
"Va voir maman, papa travaille",1978,95,Comedy,5.9,60
Valentino,1977,128,"Biography,Drama",6.1,1703
Lâche-moi les jarretelles,1977,92,Comedy,5.5,231
Action immédiate,1977,100,"Action,Crime,Thriller",6.6,597
Emanuelle et les filles de Madame Claude,1978,88,Drama,4.2,494
La Dernière coupe de forêt,1977,128,"Comedy,Drama",6.3,101
La visita del vicio,1978,93,Thriller,5.2,454
Le casse-cou,1977,106,"Action,Adventure,Biography",3.3,953
La vocation suspendue,1978,90,Drama,6.7,136
Le kolonel pédale dans la choucroute,1977,95,Comedy,4.3,36
Vous n'aurez pas l'Alsace et la Lorraine,1977,92,Comedy,5.2,433
La guerre de l'espace,1977,91,"Action,Adventure,Sci-Fi",5.0,471
Bienvenue à la cité sanglante,1977,96,"Drama,Mystery,Sci-Fi",5.2,396
Welcome to Los Angeles,1976,106,"Drama,Music,Romance",6.1,915
Le bison blanc,1977,97,"Action,Adventure,Western",6.2,3996
Pitié pour le prof,1977,100,"Comedy,Drama",7.0,443
Les Sorciers de la guerre,1977,82,"Adventure,Animation,Fantasy",6.5,10727
Drôle de séducteur,1977,89,Comedy,5.9,1901
Les mouchoirs jaunes du bonheur,1977,108,"Comedy,Drama",7.4,962
Yéti - Le géant d'un autre monde,1977,118,"Adventure,Crime,Fantasy",4.6,384
L'aigle de Shaolin,1977,90,"Action,Drama",7.1,833
Un petit mélo dans la tête,1977,90,"Drama,Music,Romance",4.8,582
Les amants de la jeune Lady Chatterley,1977,100,Drama,5.2,586
Screen Tests,1977,99,"Drama,Romance",6.1,96
A chacun son enfer,1977,105,"Drama,Mystery",7.0,163
L'échappatoire,1977,85,Drama,5.0,6
Les deux berges,1977,100,Drama,6.3,59
Les 3 samourais de Shaolin,1978,77,"Action,Comedy",5.2,11
"Addio, piccola mia",1979,123,"Biography,Drama,Romance",6.3,14
L'adolescente,1979,90,Drama,6.6,168
L'adoption,1979,92,Drama,5.5,76
L'empire de la passion,1978,105,"Drama,Horror,Romance",7.0,3856
L'arbre aux sabots,1978,186,"Drama,History",7.9,5451
Alicia dans l'Espagne des merveilles,1978,86,"Drama,Fantasy",6.8,25
Personnalité réduite de toutes parts,1978,98,Drama,6.1,119
L'amant de poche,1978,95,Comedy,6.1,143
American Boy: A Profile of - Steven Prince,1978,55,Documentary,7.3,1230
L'amour en question,1978,95,"Crime,Drama,Mystery",6.0,90
L'argent des autres,1978,105,Drama,6.7,345
Homicide Volontaire,1978,83,"Crime,Drama",6.3,82
"Attention, les enfants regardent",1978,103,"Drama,Thriller",6.5,358
La proie de l'autostop,1977,104,"Crime,Drama,Thriller",6.9,2541
Avalanche,1978,91,"Action,Drama",3.7,1868
Avantage,1977,138,Drama,7.1,205
Avoir vingt ans,1978,94,"Comedy,Crime,Drama",6.1,909
Le travail,1978,90,Drama,6.7,191
La ballade des Dalton,1978,82,"Animation,Comedy,Family",7.0,1712
Barracuda,1978,98,"Horror,Thriller",4.1,1018
La barricade du Point du Jour,1978,110,"Drama,History",6.5,11
Galactica: La bataille de l'espace,1978,148,"Action,Adventure,Sci-Fi",6.9,8898
Bim chien blanc à l'oreille noire,1977,182,Drama,8.2,1964
Bermudes: Triangle de l'enfer,1978,95,"Adventure,Crime,Fantasy",4.5,123
Desharem,1978,139,"Action,Drama",5.4,111
Betsy,1978,125,Drama,5.2,1395
Les bidasses au pensionnat,1978,90,Comedy,3.7,57
The Big Fix,1978,108,"Comedy,Mystery,Thriller",6.3,1386
Le grand sommeil,1978,99,"Crime,Drama,Mystery",5.8,4223
Graffiti Party,1978,120,"Drama,Sport",7.2,6180
New York ne répond plus,1978,92,"Action,Thriller",4.9,335
Le bleu des origines,1979,52,Drama,7.1,70
Fureur aveugle,1976,80,"Action,Comedy",4.1,171
Chasseurs de sang,1976,93,Horror,4.6,273
Le sang du dragon,1971,96,"Action,Drama",6.6,317
Incredible Torture Show,1976,84,"Comedy,Horror",4.9,5419
Blue Collar,1978,114,"Crime,Drama",7.5,7478
Lady Blue,1977,96,"Drama,Family",6.2,73
Blue jeans - Du beurre aux Allemands,1977,80,Drama,6.3,88
L'affaire Colson,1978,110,"Biography,Drama",5.2,116
Born invincible,1978,83,Action,7.0,431
Ces garçons qui venaient du Brésil,1978,125,"Drama,Mystery,Sci-Fi",7.0,25956
Les boys de la compagnie C,1978,125,"Drama,War",7.0,2996
La cible étoilée,1978,111,"Action,Drama,Mystery",5.9,1110
Têtes vides cherchent coffres pleins,1978,104,"Comedy,Crime,Drama",6.5,2743
Les bronzés,1978,105,"Comedy,Romance",6.8,6488
Buck Rogers au XXVe siècle,1979,89,"Action,Adventure,Sci-Fi",6.7,5337
La vengeance de Kung fu Kid,1969,\N,\N,4.7,6
La cage aux folles,1978,97,Comedy,7.3,9950
California Hôtel,1978,103,"Comedy,Drama,Romance",6.2,6734
La vengeance des infirmes,1978,104,"Action,Drama",7.4,2254
Capricorn One,1977,123,"Action,Adventure,Drama",6.9,20501
La carapate,1978,100,"Adventure,Comedy,Crime",6.5,1063
Caravane,1978,127,"Action,Adventure,History",6.1,823
Carmen - Celle qui avait 16 ans,1978,102,"Drama,Musical",6.3,30
Le chat et le canari,1978,98,"Comedy,Horror,Mystery",5.6,1262
Le chat qui vient de l'espace,1978,104,"Comedy,Family,Sci-Fi",6.1,4617
Le cavaleur,1979,104,Comedy,6.2,351
Ces flics étranges venus d'ailleurs,1979,86,Comedy,2.9,10
Le défi mortel du karatéka,1979,90,"Action,Adventure,Drama",6.0,32
La chambre verte,1978,94,Drama,7.0,2713
La chanson de Roland,1978,110,"Adventure,Drama,Mystery",5.6,122
L'embrouille,1977,93,Comedy,5.8,921
Chaussette surprise,1978,96,Comedy,4.6,45
Le privé de ces dames,1978,92,"Comedy,Crime,Mystery",6.5,4208
Les chiens,1979,100,"Drama,Thriller",6.1,313
"China 9, Liberty 37",1978,102,"Romance,Western",6.1,1013
Holocaust 2000,1977,106,Horror,5.5,1137
Ce cher Victor,1975,102,"Comedy,Drama",6.6,44
L'école ras le bol,1978,90,"Comedy,Drama",5.3,435
Cléopatre la panthère du kung fu,1978,110,"Action,Adventure,Crime",5.8,149
La clé sur la porte,1978,98,Drama,6.3,97
La prof joue et gagne,1978,100,"Comedy,Sport",4.7,517
Morts suspectes,1978,113,"Drama,Horror,Mystery",6.9,17637
Le Retour,1978,100,"Horror,Mystery,Thriller",5.9,907
Le souffle de la tempête,1978,118,"Drama,Romance,Western",6.3,2460
Retour,1978,127,"Drama,Romance,War",7.3,12488
Confidences pour confidences,1979,110,"Comedy,Drama",6.7,92
Le convoi,1978,110,"Action,Drama",6.4,15412
Corps à coeur,1979,126,"Drama,Romance",7.3,150
La fille,1978,109,"Drama,Romance",6.3,1153
Le prince et le pauvre,1977,113,"Adventure,Comedy,Drama",6.3,1654
Damien : La Malédiction II,1978,107,Horror,6.3,29692
La Tigresse du kung-fu,1978,92,"Action,Comedy",6.5,56
Date with a Kidnapper,1976,76,"Crime,Drama,Romance",5.8,227
Zombie : Le Crépuscule des morts-vivants,1978,127,"Horror,Thriller",7.9,112355
Le Cycle,1977,101,Drama,7.4,488
Les moissons du ciel,1978,94,"Drama,Romance",7.8,53605
Dimension de la mort,1978,88,"Action,Sci-Fi",4.4,477
Mort sur le Nil,1978,140,"Crime,Drama,Mystery",7.3,29215
Les gladiateurs de l'an 3000,1978,82,"Action,Drama,Sci-Fi",4.1,1656
Voyage au bout de l'enfer,1978,183,"Drama,War",8.1,315026
Despair,1978,119,"Drama,History",7.1,2107
L'Allemagne en automne,1978,123,"Documentary,Drama",6.9,1166
2 affreux sur le sable,1980,95,"Comedy,Crime",4.9,109
La diablesse,1979,90,"Crime,Drama,Horror",5.2,130
L'important c'est de tuer,1979,90,"Action,Crime,Thriller",4.2,24
Dominique : Les Yeux de l'épouvante,1979,100,Horror,5.4,823
Dona Flor et ses deux maris,1976,110,"Comedy,Fantasy",7.0,2327
Enquête à l'italienne,1977,120,"Drama,Thriller",5.6,159
Double suicide à Sonezaki,1978,112,"Crime,Drama,Romance",6.6,125
Où es-tu allé en vacances?,1978,127,Comedy,6.5,426
"Zoltan, le chien sanglant de Dracula",1977,87,Horror,4.4,1183
Dragon 'Bruce' Lee - Part II,1982,87,"Action,Drama",5.7,61
Cri de femmes,1978,110,Drama,6.6,310
Driver,1978,91,"Action,Crime,Thriller",7.2,14678
Deux bonnes pâtes,1979,110,"Comedy,Drama",6.6,44
Le sabre écarlate,1971,79,Adventure,6.4,66
Dynamite Johnson,1979,95,"Action,Sci-Fi",4.7,58
L'aigle ne pardonne pas,1977,86,"Action,Drama",6.1,100
Rhapsodie hongroise,1979,103,"Drama,History",6.8,185
Goodbye Emmanuelle,1977,100,"Drama,Romance",3.9,1492
Un et un,1978,99,Drama,5.4,24
Suicidez-moi docteur,1978,100,"Comedy,Drama",6.2,3633
Enigma rosso,1978,85,"Mystery,Thriller",5.6,606
Une ingénue libertine,1978,80,Comedy,4.7,37
Violez les otages!,1978,95,"Action,Crime,Drama",5.3,255
"Doux, dur et dingue",1978,114,"Action,Comedy",6.4,23492
Le couloir de la mort,1978,89,"Horror,Thriller",5.8,2277
Executioner,1974,79,"Crime,Drama,Thriller",6.1,716
Les Yeux de Laura Mars,1978,104,"Mystery,Thriller",6.2,9042
F.I.S.T,1978,145,"Crime,Drama,Thriller",6.5,7274
Modulation de fréquence,1978,104,"Comedy,Drama,Music",6.4,903
Face à la mort,1978,105,"Documentary,Horror",4.2,6340
Fedora,1978,116,"Drama,Romance",6.9,4106
La femme qui pleure,1979,90,Drama,6.7,103
Les filles du régiment,1978,110,Comedy,3.8,20
Mélodie pour un tueur,1978,90,"Crime,Drama,Music",6.8,2365
Bruce Lee et ses mains d'acier,1978,93,"Action,Drama",3.9,187
Cinq venins mortels,1978,101,"Action,Drama,Mystery",7.1,6599
Flic ou voyou,1979,107,"Action,Comedy,Crime",6.7,2201
L'auberge du dragon volant,1980,90,Horror,5.6,76
Vacances meurtrières à Hong Kong,1978,72,"Crime,Mystery,Thriller",4.4,9
L'ouragan vient de Navarone,1978,118,"Action,Drama,War",6.4,16839
Drôle d'embrouille,1978,116,"Comedy,Mystery,Thriller",6.8,13933
La femme d'en face,1978,103,Drama,6.4,14
Fury,1978,118,"Horror,Sci-Fi,Thriller",6.4,13832
Furie,1979,90,Drama,4.4,77
Les Mouettes volent bas,1978,97,"Adventure,Crime",6.2,52
Le jeu de la mort,1978,100,"Action,Crime,Drama",6.1,17440
Gamín,1977,90,Documentary,6.1,19
"La belle, le boiteux et le gangster",1979,114,"Comedy,Mystery",6.3,300
Gant d'acier,1979,92,"Action,Crime,Drama",5.5,331
La cellule de verre,1978,93,"Crime,Drama",6.8,183
Le merdier,1978,114,"Drama,War",6.7,2539
En route vers le Sud,1978,105,"Comedy,Romance,Western",6.2,6666
Sauvez le Neptune !,1978,111,"Adventure,Drama,History",6.3,2791
Duel à cheyenne pass,1977,104,"Adventure,Drama,Romance",5.6,547
Grease,1978,110,"Musical,Romance",7.2,245087
L'empire du Grec,1978,107,Drama,5.4,1129
La guerre des robots,1978,103,"Adventure,Sci-Fi",2.7,715
L'implacable Défi,1980,87,"Action,Thriller",5.2,333
La Nuit des masques,1978,91,"Horror,Thriller",7.7,235306
La dernière chevalerie,1979,106,"Action,Drama",7.1,1411
Le ciel peut attendre,1978,101,"Comedy,Fantasy,Romance",6.9,18951
Terreur sur le monde,1977,95,"Action,Adventure",4.9,22
La colline a des yeux,1977,90,"Horror,Thriller",6.3,30899
Piccole labbra,1978,86,Drama,5.6,563
Le dernier amant romantique,1978,104,"Drama,Romance",6.5,80
La fureur du danger,1978,99,"Action,Comedy",6.4,6047
L'horoscope,1978,90,Comedy,3.9,54
Tête brûlée et pied tendre,1978,90,"Action,Comedy,Family",6.2,1193
Appelez-moi Docteur,1978,98,"Comedy,Drama,Romance",6.7,1739
Hu bian zi,1974,90,Action,5.8,15
L'hypothèse du tableau volé,1978,66,"Drama,Mystery",7.5,997
Les héros n'ont pas froid aux oreilles,1978,83,"Comedy,Drama",5.1,188
L'Hôtel de la plage,1978,110,Comedy,6.0,267
Sonate d'automne,1978,99,"Drama,Music",8.2,28172
Oeil pour oeil,1978,101,"Horror,Thriller",5.7,26189
Crazy Day,1978,104,"Comedy,Music,Romance",6.9,4517
Château de rêves,1978,108,"Drama,Romance,Sport",6.6,3200
L'île des amours,1982,170,"Biography,Drama,Romance",7.2,64
Ils sont grands ces petits,1979,90,Comedy,5.0,130
Diamants et karaté,1978,91,Action,4.9,251
L'immoralità,1978,109,"Drama,Thriller",5.9,424
Les femmes de 30 ans,1978,110,"Comedy,Drama,Romance",5.7,589
L'année des treize lunes,1978,124,Drama,7.5,3741
Emanuelle in the Country,1982,90,Comedy,4.0,171
L'infirmière de nuit,1979,95,Comedy,5.7,332
Le grand embouteillage,1979,128,Drama,7.0,911
La championne du collège,1979,83,Comedy,5.1,195
La prof et les cancres,1978,92,Comedy,4.7,326
La prof connaît la musique,1978,90,"Comedy,Mystery",5.3,314
Le triangle de Vénus,1978,86,"Crime,Drama",4.4,195
Intérieurs,1978,92,Drama,7.4,18534
Sarah,1978,127,"Drama,Family,Sport",5.9,1350
L'invasion des profanateurs,1978,115,"Horror,Sci-Fi",7.4,53883
Alexandrie pourquoi?,1979,133,Drama,7.4,1456
L'île des filles perverses,1977,88,Adventure,5.1,17
Les monstres sont toujours vivants,1978,91,"Horror,Sci-Fi",5.2,2084
Comment vivre,1977,83,Documentary,7.8,53
"Les dents de la mer, deuxième partie",1978,116,"Adventure,Horror,Thriller",5.8,71306
Je suis timide... mais je me soigne,1978,88,Comedy,6.6,1329
Constrictor,1978,90,Horror,5.6,576
Le dieu éléphant,1979,112,"Adventure,Crime,Family",8.1,1741
California stop,1977,86,"Action,Crime",4.2,49
Judith Therpauve,1978,125,Drama,6.3,114
Le jeune moine,1978,84,"Comedy,Fantasy",7.5,11
Il est dangereux de se pencher au dehors,1978,102,"Comedy,Drama",7.5,29
L'invasion des piranhas,1979,101,"Horror,Sci-Fi,Thriller",4.1,1741
Le Roi des gitans,1978,112,Drama,6.3,1078
Le pouvoir des plantes,1978,75,Thriller,5.9,85
Le Vieux Maître du kung fu,1978,83,"Action,Adventure,Comedy",5.9,36
L'espionne qui venait du soleil levant,1976,97,"Action,Drama",6.6,18
Lady Oscar,1979,124,"Drama,History,Romance",6.0,485
La légende de Shaolin,1978,90,"Action,Adventure",6.2,52
Rayon laser,1978,85,"Horror,Sci-Fi",2.7,5728
Dragon blanc contre dragon noir,1976,90,"Action,Crime,Drama",5.2,15
La dernière valse,1978,117,"Biography,Documentary,Music",8.2,16466
La vie fantastique de Bruce Lee,1976,90,"Action,Adventure,Biography",5.2,385
Les lycéennes redoublent,1978,90,Comedy,5.1,366
La lycéenne séduit ses professeurs,1979,93,Comedy,5.1,255
La petite ville d'Anara,1978,90,"Adventure,Comedy",8.2,47
Mon nom est... Bulldozer,1978,110,"Action,Comedy,Sport",6.8,5083
La vengeance de l'aigle de Shaolin,1978,90,"Action,Adventure,Drama",7.4,836
Le seigneur des anneaux,1978,132,"Adventure,Animation,Fantasy",6.2,29945
Ultimatum,1977,118,"Crime,Drama",7.3,529
Mafu cage,1978,102,"Drama,Horror,Thriller",6.0,448
Magic,1978,107,"Drama,Horror",6.8,9555
La grande randonnée de Lassie,1978,100,"Drama,Family,Musical",5.8,523
Mister Boo fait de la télévision,1978,96,Comedy,6.6,270
Mais où et donc Ornicar,1979,110,Drama,5.7,44
Touche pas à mes tennis,1978,96,Comedy,4.6,586
Violence à Manaos,1979,93,"Adventure,Drama",5.2,133
Le Faiseur d'épouvantes,1978,104,"Horror,Sci-Fi",5.4,2622
Martin,1977,95,"Drama,Horror",7.1,10063
Martin et Léa,1979,90,Drama,6.4,54
Le pot de vin,1978,110,"Comedy,Crime,Mystery",7.2,107
Purgatoire,1978,108,"Action,Drama,Thriller",6.0,227
La grande menace,1978,109,"Horror,Sci-Fi",7.0,5953
Les désirs de Melody in Love,1978,96,"Drama,Romance",4.6,147
Le couteau dans la tête,1978,113,Drama,7.0,572
Le messie,1975,140,"Biography,History",6.6,287
Midnight Express,1978,121,"Biography,Crime,Drama",7.6,74498
Coup de gueule,1978,83,"Action,Crime,Drama",6.0,73
Killer's Delight,1978,85,"Horror,Thriller",5.5,196
Galactica - Les Cylons attaquent,1979,108,"Action,Adventure,Sci-Fi",7.1,1558
Molière,1978,260,"Biography,Drama,History",7.6,776
Le temps d'une romance,1978,105,"Drama,Romance",3.0,1069
Mon premier amour,1978,100,"Drama,Romance",6.0,52
L'attaque du fourgon blindé,1978,92,"Action,Crime,Drama",6.5,622
La Montagne du dieu cannibale,1978,99,"Adventure,Horror",5.3,3911
"Moritz, cher Moritz",1978,96,Drama,6.4,161
Folie-Folie,1978,105,"Comedy,Musical,Sport",6.4,1021
Le tropique du désir,1978,79,"Adventure,Thriller",4.7,59
La grande virée,1979,90,"Crime,Drama",4.6,106
Mon retour,1978,71,"Biography,Drama",7.5,684
Volupté sensuelle,1978,75,Drama,3.0,22
Les hommes ne peuvent pas être violés,1978,99,Drama,6.0,311
La Fureur de shaolin,1978,98,"Action,Drama",7.0,983
American College,1978,109,Comedy,7.5,112873
Néa,1976,103,Drama,5.9,204
"La nuit, un rôdeur",1978,90,"Comedy,Drama",5.5,166
Nighthawks,1978,113,Drama,5.9,538
Nihon no Don: Kanketsuhen,1978,131,"Crime,Drama",6.5,19
Thorvald le Viking,1978,90,"Action,Adventure",3.7,644
Northern Lights,1978,95,"Drama,History",7.0,170
Les nouveaux monstres,1977,115,Comedy,7.0,1669
La quatrième rencontre,1978,92,"Horror,Sci-Fi,Thriller",3.9,372
Arrête ton char... bidasse!,1977,90,Comedy,3.6,67
Les yeux bandés,1978,110,Drama,6.4,231
Oliver's Story,1978,91,"Drama,Romance",4.6,843
La grande aventure en montgolfière,1978,89,Adventure,5.0,247
Comme chez nous,1978,110,Drama,6.9,42
Le seul et l'unique,1978,97,"Comedy,Romance",5.8,680
L'ordre et la sécurité du monde,1978,105,"Drama,Thriller",5.5,64
"Un champion, un homme",1978,92,Drama,5.3,164
Deux espionnes avec un petit slip à fleurs,1980,96,Thriller,4.6,166
La belle et la bête,1978,91,"Fantasy,Horror,Mystery",7.6,1190
Et mourir... de plaisir,1978,86,Horror,4.4,530
La taverne de l'enfer,1978,107,Drama,5.8,4701
Pair et impair,1978,115,"Action,Comedy,Crime",7.3,8214
Patrick,1978,112,"Drama,Horror,Sci-Fi",6.1,3044
Perceval le Gallois,1978,140,"Drama,Music,Romance",7.0,1194
Les raisins de la mort,1978,85,Horror,6.2,2161
La petite fille en velours bleu,1978,108,"Drama,Romance,War",6.2,49
Les folles aventures de Picasso,1978,115,Comedy,7.4,3365
Le pion,1978,88,"Comedy,Family,Romance",5.4,348
Piranhas,1978,94,"Comedy,Horror,Sci-Fi",5.9,19350
La guerre biologique,1979,88,"Drama,Sci-Fi,Thriller",5.3,254
La planète des dinosaures,1977,84,"Drama,Sci-Fi",4.0,1466
La Jungle plate,1979,90,Documentary,6.6,29
Le Jeu de la puissance,1978,102,"Drama,Thriller",6.0,326
La petite,1978,110,Drama,6.6,9843
L'île de l'enfer-cannibales,1980,90,"Adventure,Horror",3.2,335
Préparez vos mouchoirs,1978,108,"Comedy,Drama,Romance",6.9,3577
L'Irrésistible,1978,99,"Action,Comedy,Fantasy",5.9,2033
Raoni,1978,84,Documentary,6.2,59
"Le Quincailler Bébert Bocal, gendre du Président",1978,90,Comedy,5.8,780
Le recours de la méthode,1978,164,Drama,6.3,68
Le règne de Naples,1978,136,Drama,6.7,106
Le roi des Berlengas ou l'indépendence de celles-ci,1978,115,Comedy,6.7,49
Tu ne m'oublieras pas,1978,94,"Drama,Thriller",6.3,1016
Renaldo et Clara,1978,235,Drama,6.9,475
Les rendez-vous d'Anna,1978,128,Drama,7.4,1474
Les visiteurs d'un autre monde,1978,95,"Adventure,Family,Fantasy",5.9,4588
La malédiction de la panthère rose,1978,99,"Comedy,Crime,Mystery",6.7,20324
"Rheingold, compartiment meurtre",1978,91,Drama,6.6,116
Les routes du sud,1978,100,Drama,5.9,140
Robert et Robert,1978,105,"Comedy,Drama",6.6,294
Rock 'n' Roll,1978,93,"Comedy,Drama",6.9,12
Edgar de la Cambriole: Le Secret de Mamo,1978,102,"Action,Adventure,Animation",7.0,1226
Les réformés se portent bien,1978,85,Comedy,2.8,20
Safari Rally,1978,90,"Action,Adventure",4.8,34
Sale rêveur,1978,85,Drama,5.5,27
"Même heure, l'année prochaine",1978,119,"Comedy,Drama,Romance",7.2,5650
Les panthères du kung fu,1979,92,"Action,Adventure",5.8,50
Les naufragés de l'île perdue,1978,102,"Adventure,Family",6.3,310
Selle d'argent,1978,98,"Action,Western",6.2,628
Les faux-durs,1977,108,"Comedy,Romance,Sport",5.9,2691
La dernière maison sur la plage,1978,86,"Drama,Horror,Thriller",5.8,610
Seven Nights in Japan,1976,104,"Action,Comedy,Drama",5.8,159
Sextette,1977,91,"Comedy,Musical,Romance",3.6,1204
Sergeant Pepper's Lonely Hearts Club Band,1978,113,"Adventure,Comedy,Fantasy",4.2,6080
Chikara,1977,114,"Horror,Western",5.5,334
Le défi mortel,1978,137,"Action,Adventure,Crime",6.3,526
La main noire de Shantung,1972,78,"Action,Drama",6.5,44
La 36ème chambre de Shaolin,1978,116,"Action,Adventure,Drama",7.7,15089
Chien Tse le Dragon noir,1978,96,"Action,Drama",6.6,2288
Le chinois se déchaine,1978,97,"Action,Comedy",7.4,10775
Le crochet mortel de Shaolin,1978,88,Action,6.2,244
D'amour et de sang,1978,124,Thriller,6.5,537
Le cri du sorcier,1978,86,"Drama,Horror",6.7,3880
The fox in the chicken coop,1978,90,Comedy,7.5,77
Coup de poing,1979,124,Drama,6.3,149
L'argent de la banque,1978,106,"Crime,Drama,Thriller",7.4,5512
Paranoid,1978,91,"Crime,Drama,Thriller",4.6,34
Slithis,1978,86,"Horror,Sci-Fi",3.9,910
Les rêves de Monsieur Rossi,1977,80,"Adventure,Animation",7.2,127
Terreur sur la lagune,1978,109,"Mystery,Thriller",6.4,1469
La toubib prend du galon,1978,96,Comedy,4.9,271
Mais qui a tué son mari ?,1978,97,"Comedy,Crime,Mystery",5.0,382
La Soeur d'Ursula,1978,96,"Drama,Horror,Mystery",5.0,713
Brigade anti-mafia,1978,91,"Comedy,Crime",6.0,262
Le renard de Brooklyn,1978,99,"Comedy,Crime,Drama",5.3,359
Star Odyssey,1979,103,Sci-Fi,2.8,523
La Percée d'Avranches,1979,111,"Drama,War",5.1,1083
Le récidiviste,1978,114,"Crime,Drama",7.4,7780
La rage de la casse,1978,86,"Action,Drama,Music",5.5,374
Équipe spéciale,1977,92,"Action,Crime,Thriller",6.3,213
Le sucre,1978,104,"Comedy,Drama,Thriller",6.4,464
Dans la chaleur des nuits d'été,1978,103,Comedy,4.4,166
Bikini commando,1978,87,"Comedy,Romance",3.3,106
La petite soeur du diable,1979,88,"Horror,Mystery,Thriller",5.0,1659
Emmanuelle et les Collégiennes,1977,90,Drama,5.4,496
Superman,1978,143,"Action,Adventure,Drama",7.3,160851
Le Lac des Cygnes,1981,75,"Adventure,Animation,Family",7.8,760
L'inévitable catastrophe,1978,116,"Horror,Thriller",4.5,7014
Le troupeau,1978,129,Drama,8.3,4429
Tusk,1980,119,Drama,5.0,430
La mante religieuse,1978,96,"Action,Drama",6.8,556
Tendrement vache,1979,94,Comedy,3.2,36
Le témoin,1978,90,"Comedy,Crime,Drama",6.5,228
L'avocat du diable,1977,109,Drama,6.5,55
Dieu merci c'est vendredi,1978,89,"Comedy,Music",5.5,2448
Un joueur de base-ball nommé Third,1978,102,"Crime,Drama",7.0,119
Les 39 marches,1978,102,"Crime,History,Mystery",6.6,2314
Les 7 magnifiques du kung fu,1979,87,"Action,Drama",2.9,49
"Ilsa, la tigresse du goulag",1977,90,Horror,4.8,1646
La foreuse sanglante,1978,93,"Horror,Mystery,Thriller",5.3,3511
Le justicier défie la ville,1977,85,"Crime,Drama,Thriller",5.2,176
Le mystère du triangle des Bermudes,1978,115,"Horror,Mystery,Sci-Fi",4.2,1053
Trocadéro bleu citron,1978,90,"Family,Romance",6.6,98
Le Trompette,1979,84,"Drama,Western",7.1,20
L'ami inconnu,1978,90,"Crime,Thriller",5.4,89
Shaolin contre Wu Tong,1980,101,"Action,Drama",6.4,604
Deux solitudes,1978,117,"Drama,History",6.2,28
San ku kaï: le film,1978,105,"Action,Adventure,Sci-Fi",5.0,1248
357 Magnum,1978,95,"Crime,Drama",6.3,22
Le dernier monde cannibale,1977,88,"Adventure,Horror",6.0,3336
Le Dernier souffle,1978,105,Drama,6.1,53
Un papillon sur l'épaule,1978,95,"Drama,Thriller",6.8,660
Un second souffle,1978,95,Drama,6.4,24
Un si joli village...,1979,116,"Crime,Drama,Mystery",6.6,96
La femme libre,1978,124,"Comedy,Drama,Romance",7.2,4840
Faut trouver le joint,1978,86,"Comedy,Music",7.0,36451
S.O.S. danger uranium,1978,98,"Action,Drama,Thriller",4.9,130
Commandos dans la zone d'alerte,1978,98,Action,7.2,331
Le paradis perdu,1978,94,Drama,6.4,100
Violette Nozière,1978,124,"Crime,Drama,Thriller",7.2,2146
Les 7 cités d'Atlantis,1978,96,"Adventure,Fantasy",5.7,1968
Les enfants de l'eau,1978,105,"Adventure,Animation,Family",6.2,1244
La folle escapade,1978,91,"Adventure,Animation,Drama",7.6,34020
Un mariage,1978,125,"Comedy,Drama",7.1,3268
La chasse au meurtrier,1978,95,"Crime,Drama",6.5,51
La Grande Cuisine,1978,112,"Comedy,Crime,Mystery",6.5,2191
Les guerriers de l'enfer,1978,126,"Action,Crime,Drama",6.7,2606
Les oies sauvages,1978,134,"Action,Adventure,Drama",6.8,11746
Auberge des pécheresses,1978,86,Comedy,3.3,43
The Wiz,1978,134,"Adventure,Family,Fantasy",5.5,13972
Shogun Samourai,1978,130,"Action,Adventure,Drama",7.2,1442
Entre les rails,1978,109,Drama,7.4,33
Warriors Two,1978,95,"Action,Drama",7.3,1168
La zizanie,1978,97,Comedy,6.5,3400
Zoo zéro,1979,101,"Drama,Sci-Fi",5.7,126
Le second éveil,1978,92,Drama,6.7,265
Éclair au chocolat,1979,107,"Drama,Romance",5.4,24
Écoute voir...,1978,124,"Mystery,Sci-Fi,Thriller",5.8,136
L'état sauvage,1978,115,Drama,5.9,123
Justice pour tous,1979,119,"Crime,Drama,Thriller",7.4,31353
Elle,1979,122,"Comedy,Romance",6.1,15351
1941,1979,118,"Action,Comedy,War",5.8,31595
Les tigres de la huitième escorte,1980,\N,"Action,Mystery",5.3,26
Agatha,1979,105,"Drama,Mystery,Thriller",6.3,2817
Airport 80 Concorde,1979,113,"Action,Drama,Thriller",4.5,5749
La femme aux cheveux rouges,1979,73,"Comedy,Drama",6.0,243
